type,category,name,energy_kcal,proteins,available_carbohydrates,lipids,total_fiber
ALIMENTO,DOLCE,"Zucchero, saccarosio",392.0,0.0,104.5,0.0,0.0
ALIMENTO,DOLCE,"Caramelle tipo ""mou""",430.0,2.1,71.1,17.2,0.0
ALIMENTO,DOLCE,"Gomme da masticare, lastrine e confetti",262.0,0.0,70.0,0.0,0.0
ALIMENTO,DOLCE,Torrone alla mandorla,483.0,10.8,52.0,26.8,1.9
ALIMENTO,DOLCE,"Cioccolato, al latte",552.0,7.3,50.5,36.3,3.2
ALIMENTO,DOLCE,"Cioccolato, fondente",531.0,6.6,49.7,33.6,8.0
ALIMENTO,DOLCE,"Cioccolato, al latte con nocciole",553.0,7.2,48.6,36.9,4.8
ALIMENTO,DOLCE,Crema di nocciole e cacao,537.0,6.9,58.1,32.4,0.0
ALIMENTO,DOLCE,Canditi,292.0,0.5,75.0,0.0,4.5
ALIMENTO,DOLCE,"Gelato confezionato, cacao, in vaschetta",173.0,3.6,25.3,7.1,0.0
ALIMENTO,DOLCE,"Gelato confezionato, caffè, in vaschetta",245.0,5.1,23.9,15.0,0.0
ALIMENTO,DOLCE,"Gelato confezionato, fior di latte, in vaschetta",218.0,4.2,20.7,13.7,0.0
ALIMENTO,DOLCE,"Gelato confezionato, fior di latte, ricoperto di sorbetto alla fragola",101.0,1.4,21.3,1.7,0.0
ALIMENTO,DOLCE,"Gelato confezionato, nocciola, in vaschetta",183.0,3.3,25.2,8.4,0.0
ALIMENTO,DOLCE,"Gelato confezionato, panna, in vaschetta",189.0,3.2,27.2,8.2,0.0
ALIMENTO,DOLCE,"Gelato confezionato, panna ricoperta di cioccolato fondente",316.0,4.5,28.2,21.4,0.0
ALIMENTO,DOLCE,"Gelato confezionato, stracciatella, in vaschetta",193.0,2.9,31.5,7.0,0.0
ALIMENTO,DOLCE,"Gelato confezionato, vaniglia, in vaschetta",167.0,2.7,25.7,6.7,0.0
ALIMENTO,DOLCE,"Gelato confezionato, biscotto con crema, zabaione e cioccolato",271.0,5.3,49.1,7.3,0.0
ALIMENTO,DOLCE,"Gelato confezionato, cono con panna e cioccolato",291.0,5.1,34.9,15.5,0.0
ALIMENTO,DOLCE,"Gelato confezionato, cono con panna, scaglie di cioccolato e noccioline",326.0,4.2,33.3,20.5,0.0
ALIMENTO,DOLCE,Baba' al rhum,288.0,5.9,41.2,5.7,1.1
ALIMENTO,DOLCE,"Cannoli alla crema, industriale",368.0,6.2,41.9,20.7,0.0
ALIMENTO,DOLCE,"Crostata, con crema al cacao, industriale",492.0,4.6,67.0,24.7,0.0
ALIMENTO,DOLCE,"Crostata, con marmellata, industriale",339.0,4.9,65.5,8.2,0.0
ALIMENTO,DOLCE,"Crostata, con marmellata di albicocche, industriale",421.0,0.9,71.7,16.5,0.0
ALIMENTO,DOLCE,Torta margherita,370.0,8.9,63.4,10.4,1.4
ALIMENTO,DOLCE,Miele,304.0,0.6,80.3,0.0,0.0
ALIMENTO,DOLCE,"Merendine, con marmellata, industriale",364.0,5.5,67.9,9.5,1.1
ALIMENTO,DOLCE,"Merendine, farcite con cacao, industriale",410.0,6.2,65.5,15.1,1.9
ALIMENTO,DOLCE,"Merendine, tipo pan di Spagna, industriale",386.0,7.4,62.7,13.1,1.5
ALIMENTO,DOLCE,"Merendine, tipo briosche, industriale",440.0,8.2,65.7,17.6,1.0
ALIMENTO,DOLCE,"Merendine, tipo pasta frolla, industriale",447.0,5.3,71.7,17.1,1.7
ALIMENTO,DOLCE,Barretta al cocco ricoperta di cioccolato,472.0,4.8,58.2,26.1,0.0
ALIMENTO,DOLCE,Wafer ricoperto di cioccolato,498.0,8.2,60.3,26.6,0.0
ALIMENTO,DOLCE,"Savoiardi, industriali",395.0,11.9,69.6,9.2,1.6
ALIMENTO,DOLCE,Panettone,337.0,6.4,56.2,10.7,2.1
ALIMENTO,FRUTTA,Pasta di mandorle,455.0,9.9,54.6,23.4,0.0
ALIMENTO,FRUTTA,Farina di castagne,318.0,6.1,62.0,3.7,13.8
ALIMENTO,VERDURA,"Minestrone, cotto",45.0,2.0,7.8,0.4,2.1
BEVANDA,ALCOLICA,Vino da pasto bianco,70.0,0.0,0.0,0.0,0.0
BEVANDA,ALCOLICA,Vino da pasto rosso,75.0,0.0,0.0,0.0,0.0
BEVANDA,ALCOLICA,Marsala tipico,203.0,0.2,28.0,0.0,0.0
BEVANDA,ALCOLICA,Vino da aperitivo,186.0,0.0,17.0,0.0,0.0
BEVANDA,ANALCOLICA,"Arance succo, fresco",33.0,0.5,8.2,0.0,0.0
BEVANDA,ANALCOLICA,"Arance bionde succo, fresco",38.0,0.5,9.6,0.0,0.0
BEVANDA,ANALCOLICA,"Arance rosse succo, fresco",39.1,0.5,9.8,0.1,0.1
BEVANDA,ANALCOLICA,"The, foglie",108.0,19.6,3.0,2.0,0.0
BEVANDA,ALCOLICA,Birra chiara,34.0,0.2,3.5,0.0,0.0
BEVANDA,ALCOLICA,Birra scura,45.0,0.3,3.2,0.1,0.1
BEVANDA,ALCOLICA,Birra rossa,40.2,0.5,40.2,0.2,0.0
